lake_nhdid,area,perimeter,bbox_lw_rat,SDI,dist_pole
"59724019",368615.260314941,2855.6550223695,1.108,1.327,215.115096067526
"59812157",527272.03616333,2679.46697592189,1.408,1.041,331.364310051308
"72862469",123319.35458374,1503.60084493542,1.859,1.208,139.632195831916
"45730506",192558.57800293,2777.46931810018,2.147,1.786,105.163548143495
"120020831",1749487.64248657,5544.31640889356,1.361,1.182,581.17096108172
"72863379",218253.68536377,1777.24262547847,1.683,1.073,192.443399286641
"72861755",264505.890167236,3136.84251180121,2.735,1.721,147.797624019654
"166867884",413381.306854248,3487.1367162721,1.271,1.530,242.786629258513
"72858437",1611766.41671753,4645.6582702565,1.150,1.032,663.832760348229
"47711521",201416.845855713,3160.74687154554,1.625,1.987,151.3945297699
"167258275",348777.962585449,2565.03161396031,1.473,1.225,276.080205878916
"45725362",56366.2601013184,1438.96025857141,1.273,1.710,71.2024157287111
"72860703",1090585.06570435,4811.2343394991,1.476,1.300,414.288789835301
"47709085",196314.637878418,1761.72902790979,1.665,1.122,180.676074462902
"59723349",115703.524871826,1427.45720988733,1.968,1.184,140.451115995254
"45363095",483139.573242188,2825.69336828725,1.881,1.147,274.826779816495
"47709909",178374.086090088,1987.69451247767,2.107,1.328,174.836154519117
"45731316",956948.198944092,4753.58127746297,2.041,1.371,392.941147746276
"45724306",128163.2840271,2003.70265326137,2.946,1.579,125.434928304169
"59719355",435486.731506348,4554.44257814113,1.263,1.947,179.162944752286
"120018976",736070.597991943,3531.86482800114,1.859,1.161,359.12789736791
"120019800",449317.279815674,5003.80364614154,2.836,2.106,167.505348279505
"59719381",423877.948852539,2972.89876771739,1.339,1.288,250.844778017802
"120018309",429653.28604126,3663.20903955088,1.775,1.577,244.777401054429
"45723306",456741.648254395,2505.53044012493,1.155,1.046,338.107673079823
"45722849",285079.830718994,2456.60947371088,1.899,1.298,182.507211172555
"59747273",469533.799865723,5181.39255996559,3.177,2.133,180.802888572091
"59722623",86344.4717102051,1185.30336813445,1.694,1.138,110.594480264614
"120019727",737392.724365234,3700.18064786827,1.882,1.216,308.250790926594
"120019682",729081.813079834,4649.43030995771,2.691,1.536,251.972667546071
"120018248",688703.974365234,3425.31693617004,1.865,1.164,353.015902120597
"59722111",214163.448547363,2769.46387826087,2.373,1.688,164.165872515241
"120018287",245652.655059814,2929.61691564667,1.486,1.667,149.472401338322
"47716797",733068.473297119,3870.64598684198,2.212,1.275,295.105678549325
"80005517",225918.000762939,2663.25906365635,4.562,1.581,131.310806386269
"45362971",452065.484191895,4229.09434097921,1.818,1.774,233.045246692313
"45725992",543298.242492676,4272.23548967251,1.619,1.635,253.656954770354
"45724060",84695.4777832031,1604.71329133911,2.380,1.555,92.5229054214303
"45723362",291413.627044678,2904.17649293588,2.642,1.518,197.612326435325
"120019923",634566.338195801,3591.0756152378,1.263,1.272,330.247395661006
"72859435",217143.58706665,3420.53876414086,1.820,2.071,121.157452632845
"72859533",79428.7769165039,1552.92561113031,3.484,1.554,83.412267935373
"120019664",282586.489440918,2749.85166041873,1.477,1.459,226.650054837306
"45362435",144512.943145752,1575.70454601832,1.971,1.169,146.676943634667
"59748263",1132992.34146118,4100.67982715896,1.141,1.087,466.879246764018
"45729756",119747.376647949,1495.10347261794,1.405,1.219,146.249033278739
"81632802",62474.1630859375,1488.93774841152,1.797,1.680,85.0922877278268
"45361793",174490.922393799,2447.73282571711,1.350,1.653,151.657251496699
"81632437",421229.931365967,3603.70956689819,1.334,1.566,217.521313772269
"59745673",322199.088226318,2848.50446922188,2.310,1.416,173.901796883886
"80004991",146956.816314697,1487.37020930095,1.165,1.095,182.166862813473
"45362603",143994.319244385,1814.73840459659,1.790,1.349,166.671060949152
"120019888",1022646.96478271,5885.03782069293,1.096,1.642,321.267298067955
"80004579",950259.188293457,4761.61648348127,2.375,1.378,350.612751321845
"59746265",134426.85043335,1740.06226874032,2.522,1.339,124.357876098356
"47719287",808624.889556885,4412.83194963281,1.832,1.384,331.997792395665
"120018129",1024641.94436646,5967.14031098,1.549,1.663,346.09074576513
"81632389",122961.91015625,1524.48268012952,1.519,1.226,136.266232518737
"59747579",830070.138214111,3659.30854638864,1.423,1.133,369.992264190233
"47715396",1149315.34777832,8199.32295860231,1.360,2.158,350.312581488278
"47719227",256355.431488037,2287.24042306639,1.754,1.274,207.250550686105
"120018140",1031286.23797607,5789.52080051845,1.964,1.608,369.212052526358
"34131145",198452.836090088,2207.54623677138,2.997,1.398,146.905160385699
"47716810",255728.914581299,1996.44517680126,1.104,1.114,234.74523492038
"45364659",161223.011932373,1719.83621668484,1.897,1.208,176.476374104872
"120019817",615355.706573486,4237.56008721589,2.844,1.524,236.209565159588
"47714947",232193.615478516,2820.64971735263,2.495,1.651,153.494930637702
"47723443",903922.317993164,5697.00523268541,1.935,1.690,279.74484652462
"166868606",92539.3790893555,1898.77592678025,1.083,1.761,89.9082585709064
"47723219",155291.252624512,1522.33045352857,1.009,1.090,184.834186519608
"120018130",69473.7056274414,1297.41798713005,1.998,1.389,100.724943013541
"120018057",300715.637084961,3352.41022269391,1.837,1.725,193.965511937381
"120019969",1583428.08761597,5897.19894182281,1.407,1.322,499.284748947087
{92944AC1-EA33-4DF3-B9B7-5A9B249EFC97},595499.612182617,5700.34831175683,1.210,2.084,201.879806445545
"47715707",49406.6130065918,1013.32598186119,2.479,1.286,76.867328173286
"45337575",63210.9768981934,976.342801106548,1.355,1.095,121.637470351333
"80005205",434043.961975098,3607.94999762058,2.948,1.545,213.462009250026
"120019476",1798856.94665527,11511.0981981705,1.663,2.421,442.791828866157
"90771591",102375.859466553,1702.63477711683,1.759,1.501,117.312211465645
"34130936",80380.1640930176,1321.13720327244,2.034,1.315,111.520981287226
"80002889",57856.707611084,1013.39457004677,2.352,1.188,87.9955778375534
"120020953",435550.907775879,2774.9601410948,1.176,1.186,301.002708624223
"34125551",53259.4711303711,930.999606318499,1.778,1.138,97.9061304886802
"81641497",452939.030944824,4690.15385791614,1.997,1.966,146.524425307797
"120020981",359350.093322754,3037.55857181521,1.406,1.429,200.401617128465
"34124496",130084.120391846,3298.66770423527,1.838,2.580,122.328547946376
"120019335",298926.483642578,5099.23139735899,2.105,2.631,98.061271551414
"81642791",311041.775726318,2255.29283562246,1.493,1.141,252.26587210256
"81642745",966143.652984619,4021.25021844571,1.227,1.154,460.110787298452
"120020961",988877.532440186,4380.86085840779,1.398,1.243,448.969186725821
"120019314",991316.720397949,6185.70875670992,1.422,1.753,271.794565736907
"80003553",57434.983001709,982.881795083224,1.618,1.157,94.2651943226213
"81643237",166968.54876709,2116.12409208534,1.106,1.461,150.355472572764
"80002783",671586.607727051,5102.90329491995,2.721,1.757,209.801525946583
"80001607",645452.36706543,5577.5400748211,1.258,1.958,216.865878748139
"120020910",1044390.84243774,6148.91651839037,2.121,1.697,332.648364464846
"34127966",118851.36730957,2068.84575028266,1.253,1.693,115.582369489193
"80001875",160208.796325684,1661.36574129818,1.807,1.171,167.12226873771
"120018092",148632.866729736,1793.73883900141,2.040,1.312,142.40564524152
"120020921",498795.647949219,3163.52346814119,1.508,1.264,289.427325552715
"80002013",49434.1219482422,809.630315535334,1.036,1.027,112.47712297067
"81642969",133893.952575684,1878.43818129973,2.111,1.448,110.075389916759
"120018056",261881.255859375,2660.33353187542,2.074,1.466,199.023791200991
"120019333",512634.834411621,3958.79472068352,1.851,1.560,288.211066421286
"120019301",70264.5401916504,1834.62043743291,1.821,1.952,83.9419545207408
"80004621",154954.165893555,1625.31596286109,2.318,1.165,138.46104708315
"81642593",287523.524627686,2600.41421058984,2.623,1.368,181.501905763429
"120020905",1993568.2232666,8024.73594218119,1.404,1.603,522.004718829273
"80001793",548226.694030762,3568.10782685198,1.858,1.359,288.159933855663
"34127844",450503.315948486,2640.70198247651,1.545,1.110,286.780848208097
"120018125",311673.972137451,2526.58831306356,1.747,1.277,218.427210830444
"34128424",99819.4376831055,1433.36596005098,1.794,1.280,136.45362074656
"34126801",71402.5989990234,1700.80679659954,1.372,1.796,71.7020589000971
"120018055",594774.370056152,3831.44124993809,1.865,1.401,265.346844354432
"34126051",240766.441162109,2562.72640438933,1.356,1.473,168.219455593296
"120018081",923562.202331543,5190.09806554839,1.886,1.523,321.9797102573
"34128651",275892.460449219,3216.20960687536,1.720,1.727,187.988853821817
"120018047",434452.360656738,3266.97942999296,1.472,1.398,300.516655948618
"120018025",1116910.74328613,6694.91230345928,1.436,1.787,353.592143163044
"34130613",280171.712280273,2619.17463531612,2.190,1.396,210.723650146758
"91692247",201261.840209961,2424.89084665677,2.768,1.525,123.949333537344
"120020990",1136009.51782227,7166.48440971282,1.952,1.897,314.426243281531
"58124875",17816147.2656555,34666.5816982132,2.121,2.317,1029.58916227301
"120020702",780699.799499512,4667.34563824391,2.235,1.490,301.147786077628
"59804509",2370132.82205963,8039.81123776385,1.434,1.473,586.092693149168
"120019685",6281422.21365356,15230.8314986229,1.053,1.714,798.528314814191
"45337429",4121284.09350586,14009.6422283677,1.202,1.947,567.657715343346
"120019638",11910263.1403503,25322.9057895216,1.751,2.070,1020.7802841663
"45366013",2527288.11962891,8060.58576448951,1.956,1.430,568.214021189717
"120019850",1266369.60018921,12418.6779766157,4.106,3.113,210.317756270456
"45360579",6313297.65841675,28745.3629334127,1.400,3.227,649.494761477964
"45716321",517691.429321289,4566.61508210178,4.145,1.790,188.17123690546
"120019864",3167026.55142212,10616.9192892761,2.398,1.683,623.510196986478
"120020759",1702361.33267212,8520.11502768098,4.711,1.842,332.714608959873
"120020800",2219991.76820374,8081.19243002814,2.482,1.530,489.542356874396
"120019731",1508996.26008606,5752.93191554037,2.263,1.321,354.08106881214
"120020770",812834.288101196,7815.66388452038,1.897,2.445,223.390721065093
"58122653",2207176.54885864,9645.27038258445,1.785,1.831,466.043686310677
