lagoslakeid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
3788,0.087,0.15,0.087,1,1,1,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343982
66077,0.402,50.513,0.402,1,1,2,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,2647754
4423,0.247,0.672,0.247,1,1,2,4,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13079093
137617,NA,0.136,0.136,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13078879
1559,NA,59.291,23.59,0,1,4,1,1,32811,1652.416,80.469,0,50141,1,NA,NA,0,N,N,24986,13081465
5432,NA,5.912,5.912,0,1,2,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13079127
4523,6.065,93.225,6.065,1,1,3,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13081037
4549,NA,29.132,17.089,0,13,3,1,1,32811,1652.416,80.469,0,50171,31,NA,NA,0,N,N,24986,13105843
36878,0.288,0.686,0.288,1,1,1,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13081369
91018,NA,0.188,0.188,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13121052
89010,NA,2.61,2.61,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13124104
73205,NA,0.179,0.179,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13078155
49463,NA,51.683,28.497,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13123970
2460,0.277,96.367,0.277,1,1,1,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13121450
5261,NA,0.109,0.109,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13124084
1492,1.45,22.406,1.45,1,1,1,4,1,32811,1652.416,80.469,0,50197,1,NA,NA,0,N,N,24986,13124190
135625,NA,2.652,2.652,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13118744
121992,NA,80.806,15.157,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13121324
113546,NA,96.565,15.905,0,1,1,1,1,32811,1652.416,80.469,0,50194,2,NA,NA,0,Y,N,24986,13121194
5552,1.283,3.051,1.283,1,1,1,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13117758
1097,19.894,48.274,19.894,1,1,3,2,1,32811,1652.416,80.469,0,50154,1,19.894,50627,1,N,N,24986,13096318
132527,NA,2.202,2.202,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13118008
132525,9.559,14.43,9.559,2,1,3,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13117896
99243,NA,9.559,9.559,0,1,2,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13117806
62917,0.356,2.008,0.356,1,1,1,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13102671
90030,3.255,48.738,3.255,1,1,1,2,1,32811,1652.416,80.469,0,50115,1,NA,NA,0,N,N,24986,12980547
4550,NA,0.102,0.102,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13117630
4545,2.008,0.87,0.87,2,1,2,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13102651
35831,NA,4.88,4.88,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12991541
36886,NA,7.59,7.59,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12980707
87932,1.314,0.942,0.942,1,1,1,4,1,32811,1652.416,80.469,0,50120,1,NA,NA,0,N,N,24986,12991437
31709,NA,108.207,5.28,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12979591
73183,NA,0.534,0.534,0,1,1,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13345524
123023,1.032,5.556,1.032,1,1,1,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13345338
4598,2.107,0.586,0.586,1,1,1,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13345478
113541,1.45,1.968,1.45,1,1,2,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,12990825
76348,NA,1.028,1.028,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13345738
5185,0.041,5.213,0.041,3,1,3,8,1,32811,1652.416,80.469,2.513,50284,1,NA,NA,0,N,N,24986,13343174
5411,NA,4.981,4.981,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343086
58789,0.784,1.357,0.784,1,1,4,15,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343592
1291,NA,0.483,0.483,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343320
133569,0.616,0.678,0.616,1,1,1,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343374
5368,0.868,2.575,0.868,1,1,1,4,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343420
5174,0.151,94.137,0.151,3,1,5,7,1,32811,1652.416,80.469,0.375,50135,1,16.013,50129,2,N,N,24986,167120824
4526,1.467,0.132,0.132,1,1,4,5,1,32811,1652.416,80.469,NA,NA,0,1.467,50126,1,N,N,24986,13078737
