OBJECTID,lagoslakei,area,perimeter,SDI,bbox_lw_rat,dist_pole
144914,"71664",25345.2814941406,1071.12692938591,1.898,4.675,40.6067658415451
144913,"62429",20872.2642822266,866.953367466597,1.693,5.043,36.7509797645453
146953,"16454",111877.859619141,2024.64633407354,1.708,3.753,97.9661747300724
144611,"71662",3188874.9901123,16234.9713448816,2.565,5.414,353.956505266909
145982,"88689",252755.831298828,2450.13814782917,1.375,2.640,176.016521243567
145284,"75886",93147.6188964844,1620.63972109231,1.498,2.980,99.5397722723336
144935,"1607",1503301.68017578,9353.84368505855,2.152,3.375,311.736967152518
144610,"2561",828592.997558594,7217.04868080723,2.237,8.987,175.089811963297
145287,"19631",355400.469726563,4296.45221857285,2.033,4.379,152.253872620503
144572,"113138",89951.5166015625,2162.67919339728,2.034,2.243,84.9921476561063
146643,"122548",3511032.71984863,25056.519834204,3.772,13.542,310.945376345426
144890,"124663",352731.503662109,2865.06264754601,1.361,1.811,200.459423174733
146323,"992",1538393.92565918,8773.50414922813,1.995,1.100,374.635508046382
145280,"653",165075.025634766,2006.78982042021,1.393,3.251,135.499199747697
144894,"3317",460715.871704102,4168.61731866683,1.732,2.509,219.200815015307
144569,"35324",59801.9283447266,1234.74959888397,1.424,3.573,75.1419129583318
145973,"267",59757.2802734375,1004.50348334656,1.159,2.109,96.4686028261863
146290,"1760",531901.614013672,3901.68359063803,1.509,2.020,283.639493797482
146291,"63529",201400.708251953,2077.04771352759,1.306,1.613,161.684702074799
145283,"58321",85333.0402832031,1267.68599730671,1.224,1.347,116.382533228478
144567,"45881",426064.498291016,3174.5956711332,1.372,1.682,256.647070533545
146598,"100764",109250.885864258,1651.35723661437,1.409,3.346,109.332769675061
145269,"46891",123244.872802734,1307.96714219249,1.051,1.326,170.632935989268
144568,"9274",390052.123413086,3921.49167873736,1.771,3.913,179.545645616771
146295,"45878",70881.6341552734,1553.95435409497,1.647,3.334,69.4987979280239
146602,"3374",306329.51550293,3846.47057089241,1.960,7.711,117.141531802788
146596,"100765",598969.047485352,6356.91580727099,2.317,4.311,192.424292935765
145626,"97747",58917.9464111328,1565.60348212362,1.820,5.027,63.8203840653543
145671,"130904",1180494.60266113,16165.8021641827,4.197,11.253,189.874248604395
146948,"39578",81954.3479003906,2510.96978887272,2.474,3.113,78.3402555717621
146605,"18555",82850.6262207031,1350.84675223791,1.324,1.026,111.781104819775
144891,"64561",197789.14453125,2289.78869585757,1.452,2.041,133.593888989277
145975,"45863",224333.349487305,3597.64302300276,2.143,3.503,104.385190262932
144899,"16455",142092.998046875,1968.78659214074,1.473,1.197,142.990078331849
145285,"18551",84232.3513183594,1415.04483979065,1.375,2.067,109.711418004615
144902,"45864",59010.9854736328,1404.05887263417,1.630,3.364,66.7726230608186
144898,"48985",239102.310180664,2544.48640176824,1.468,2.295,166.121391263095
144271,"131956",309278.415283203,4859.24710888837,2.465,4.513,135.158277821642
146287,"140193",133790.565307617,4158.92235681183,3.207,10.220,70.675833096252
144272,"103848",280693.350097656,7597.44174177336,4.045,6.100,62.486208993053
146014,"2380",5439372.20263672,29913.091773934,3.618,4.798,443.112663381169
144934,"796",1868220.4699707,13099.0284202146,2.703,6.877,258.272778751018
145288,"30148",213624.633544922,2701.20566459841,1.649,3.495,155.737265492041
146590,"106950",52051.0012207031,1026.60426158919,1.269,2.756,81.2165995241284
146642,"3919",1335818.74768066,13685.9093120945,3.340,7.188,229.074810992029
146591,"46074",165795.805786133,2616.36968942497,1.813,2.803,132.906348511105
144559,"33249",71524.8214111328,1245.87071840279,1.314,1.244,109.690544165395
145670,"37469",2058086.75537109,12461.3549051773,2.450,4.049,333.203113700846
145621,"81126",78409.1236572266,1354.10394164494,1.364,2.983,79.7504430359659
144887,"434",43521.9006347656,960.776733723337,1.299,2.433,78.5827178540724
146282,"56236",106352.909912109,2009.5964964753,1.738,2.682,86.3132842821342
145952,"115173",502805.416503906,5482.56295148655,2.181,4.147,192.484036317442
145960,"210",134206.108886719,1841.24193085603,1.418,2.546,115.608953619164
144555,"122561",211072.842163086,4447.07497323611,2.731,1.575,133.714407575134
146274,"458",65552.7536621094,1076.03090187932,1.186,2.249,96.8185704071391
144874,"1468",111284.880004883,2020.25170524207,1.708,1.520,124.755500695634
146283,"18568",159320.501464844,2390.79399969026,1.690,2.771,113.15409051534
145961,"140196",87948.3291015625,1353.68884873584,1.288,2.301,115.178361863884
144544,"10310",504217.225463867,4691.96853595479,1.864,2.003,181.236093623707
146278,"96676",276685.355224609,3162.21126402268,1.696,1.777,182.347011676658
146276,"132985",520748.671142578,4882.87747494747,1.909,3.411,216.400334471415
145615,"113142",223750.241210938,2313.30951556664,1.380,2.415,155.796603481475
146580,"19624",110398.913208008,2481.84873203825,2.107,3.308,98.554710440127
145608,"23967",69596.3973388672,2007.65418013668,2.147,3.404,61.1437063013672
144878,"81127",382631.888427734,3768.41289980944,1.719,1.275,186.953807223477
146640,"2448",534966.255126953,5820.4066954605,2.245,1.712,207.829534887587
146588,"66628",69304.0164794922,1228.03217713283,1.316,2.204,105.093352640788
144881,"92607",775849.237548828,4882.89166076319,1.564,1.701,337.758565384428
144551,"118320",120708.348510742,1490.27334933561,1.210,1.222,159.46183053028
146575,"2626",55814.5157470703,931.990058690664,1.113,1.688,100.947686393137
146576,"2242",88825.74609375,1517.75093367018,1.437,2.513,99.0227318664675
144546,"3247",356315.697265625,3727.85529726081,1.762,2.161,195.322705652138
146285,"126754",384111.801513672,4834.67845095875,2.201,4.240,172.884710652643
146273,"111070",45236.0970458984,986.369087943291,1.308,1.701,94.5719393443303
145264,"131959",123195.856567383,1811.6455397167,1.456,2.539,114.207732594437
145253,"4104",414374.896850586,3390.05739727526,1.486,2.745,200.588316181196
146920,"104868",92610.88671875,2388.67885968981,2.214,7.954,70.3612476706437
145959,"18554",56844.6236572266,1306.16128152944,1.545,1.359,73.8158342283739
146923,"348",69282.2608642578,1399.25719466103,1.500,2.480,93.0120019324243
145965,"918",571529.659301758,6304.85114500417,2.353,4.585,177.938666268509
144886,"47933",119715.408569336,2416.04775791729,1.970,3.865,83.7200233206661
145623,"18570",38127.0860595703,1043.55912916074,1.508,1.997,67.1389171683727
144883,"118312",175262.283935547,2664.76320650045,1.796,2.778,117.75878789069
144885,"114077",96969.4005126953,1630.62745395053,1.477,1.191,122.579808694493
145620,"9259",63901.0412597656,1979.72943393973,2.209,4.207,56.5534031406808
145258,"112106",95180.1549072266,2209.60212645857,2.020,3.591,87.2526721596893
145962,"97766",75268.3706054688,1315.03668484646,1.352,1.329,99.2693095205642
144545,"115171",723930.342407227,6428.70529010515,2.131,1.956,218.175503746661
146279,"1174",331278.767944336,4957.54084124713,2.430,7.138,91.9403316634335
146586,"30144",190409.149780273,2758.24441692229,1.783,4.932,108.02047056698
146583,"135092",134918.374023438,1969.93863469735,1.513,3.339,99.4969391176174
146277,"57278",202421.045898438,2752.61843027476,1.726,3.428,106.61513678016
145249,"59401",648399.799438477,10344.7023500995,3.624,1.530,172.10487252662
146275,"100754",209991.642456055,2015.45194995618,1.241,1.008,212.863249115309
145622,"83245",41434.6876220703,891.572185176259,1.236,1.357,79.705387855204
145257,"1908",1892264.40600586,13545.2138134793,2.778,4.111,368.017960442641
145668,"3260",1994939.76257324,12657.5085483321,2.528,4.415,321.128044871258
145609,"119366",65307.2305908203,1683.28823962513,1.858,3.296,62.4143876059004
144270,"137040",2579402.9342041,18172.7813643673,3.192,4.603,387.232007394743
145966,"67648",33711.3571777344,904.92813078166,1.390,2.420,59.9254247325016
146321,"1363",1929995.38452148,12267.2771387883,2.491,2.484,511.318555767362
144932,"486",478270.072265625,5126.01546875929,2.091,5.415,141.048576173615
146013,"81118",1027381.2421875,6964.19627769041,1.938,3.988,309.544766107665
146911,"3275",371597.031005859,4709.19178577913,2.179,6.153,146.394611297342
146272,"114089",246095.822753906,2800.42819362827,1.592,2.729,141.285480756641
145604,"12388",327067.081665039,3852.91860023242,1.900,2.981,188.576359958819
144269,"573",3005499.3392334,33952.2029201888,5.525,3.431,246.207489143818
145951,"45880",1002712.51025391,11365.7987518533,3.202,2.515,234.703498943343
144608,"104870",758256.520874023,16011.2873781213,5.187,2.378,107.458487968015
145667,"105948",2681830.390625,13908.6439407487,2.396,7.077,348.930546490227
144870,"54243",409167.237182617,3896.68525216569,1.718,2.846,194.905086461087
144543,"28028",196409.549682617,3334.20709839397,2.122,4.431,145.706850146907
146639,"4196",956302.156616211,10792.0916225848,3.113,8.592,222.266343258365
146555,"26026",154740.074462891,1751.0432567896,1.256,1.332,166.253826113941
146256,"3031",520046.44934082,5036.80367516699,1.970,4.455,183.010372122916
146557,"207",241820.678833008,2023.38584114594,1.161,2.181,180.712152630727
146638,"3103",3282613.38525391,13524.9873864681,2.106,5.034,513.355415220402
144267,"171",1368457.32617188,7934.97003921861,1.913,3.453,368.05538978495
145593,"92615",366068.509155273,4491.67900426663,2.094,3.799,176.525580363893
146908,"135084",113982.583251953,2173.0721788202,1.816,2.689,104.517169076788
146906,"82171",370438.080078125,3756.38233524417,1.741,1.658,207.933100437505
146261,"34302",226903.853393555,2723.18960692167,1.613,3.689,124.965843303191
144930,"106943",478032.886230469,6616.8866644189,2.700,6.829,137.433613709116
145594,"988",976649.112792969,10812.2812139411,3.086,3.242,227.819865232926
146913,"85317",810671.125,6827.29343166447,2.139,2.138,257.981706566961
145590,"114095",227669.770019531,3364.51112568773,1.989,2.995,161.886661620991
145931,"45879",153810.378051758,2324.92363723221,1.672,1.753,148.599492217416
146559,"72702",58174.103515625,1746.13287207199,2.042,6.625,54.7976211731755
145237,"12395",158188.626220703,2980.89084631121,2.114,1.220,112.985175993721
145944,"74821",98543.0601806641,1697.58703204509,1.526,1.383,102.073571834315
300980,"70363",43159.3590087891,1316.26071165343,1.787,4.422,55.5122497380109
145938,"82177",95393.3040771484,2230.4141193674,2.037,2.898,64.5860073494896
146010,"1866",1057325.9753418,12962.8467747378,3.556,3.652,214.796839152448
302093,"29808",137025.854003906,3140.50745887617,2.393,2.507,83.2433357363514
144860,"107942",117669.400634766,2962.72890466864,2.436,6.394,74.572819000843
146320,"58317",415045.643920898,6760.64609901662,2.960,3.571,169.960118998054
144607,"79097",1406680.93371582,13321.4849348874,3.168,4.559,223.429918253347
144542,"34301",39177.3732910156,827.748860518606,1.180,2.082,72.1149904785861
144523,"12391",443597.493286133,7021.4604723572,2.974,1.071,150.283420781128
146011,"139161",460755.031494141,10546.4575356316,4.383,5.959,98.0146874670045
146012,"12398",1544813.52124023,19878.3680031697,4.512,4.379,211.703288146405
146569,"88499",181616.030151367,4991.30894596042,3.304,4.229,76.2732929112109
146258,"126764",167853.565429688,3181.54444297969,2.191,1.612,122.850640546256
302659,"18212",538732.837402344,10408.6837846063,4.000,7.169,107.84714777644
299890,"2466",478730.687255859,11687.6300256959,4.765,6.554,80.5475732605034
299857,"104565",107467.247680664,2879.9890516969,2.478,2.521,81.3969846649975
301010,"36045",231896.391601563,5856.46990615912,3.431,8.190,84.3903394860294
298739,"69347",2205986.68493652,16218.949905224,3.080,2.034,347.229042182059
144866,"63515",82622.7729492188,1539.5176554172,1.511,3.114,88.0571265927058
144532,"57284",190766.478881836,2061.79919433871,1.332,2.014,171.773685922589
301011,"1687",897207.170410156,8019.69826532012,2.388,6.354,238.808605156258
300978,"92276",96908.1300048828,2318.05717773413,2.101,6.893,74.3067719341885
300400,"132291",135931.806030273,2077.38632017991,1.589,3.793,109.520540119212
299291,"131235",354409.431274414,5778.05988897034,2.738,3.456,128.659485517127
302095,"2874",144992.677734375,2575.09254537954,1.908,4.962,97.1453602845446
300401,"247",31892.7736816406,924.612968746257,1.461,3.463,44.7614109461516
145233,"102774",390556.006713867,3953.95533544545,1.785,4.466,180.327150284103
146556,"126755",382278.230834961,3072.13146274356,1.402,1.185,255.321694920832
146637,"2832",1891434.69787598,14722.0711648904,3.020,2.326,341.693177679729
144606,"525",1051191.16491699,7173.96510767117,1.974,3.942,285.781837965604
145333,"1314",17072190.7324829,93850.8087898457,6.408,3.155,787.299539894803
146554,"91564",190602.51184082,2773.65196146569,1.792,2.959,113.905614604398
146251,"112108",699989.210083008,12958.2667303559,4.369,6.098,110.078857838479
302092,"112838",351322.63684082,7296.88747267346,3.473,6.315,123.055902164709
145231,"32270",602314.028930664,12384.8413694154,4.502,2.117,137.173730711206
144931,"3820",3519364.87841797,24579.550638633,3.696,5.341,279.485758951201
298738,"23618",458598.159179688,12327.9839374311,5.135,2.718,103.498000492126
302126,"1240",8758355.78314209,36793.4898546169,3.507,6.759,491.171829981047
299323,"304",326513.239257813,4643.29384978725,2.292,5.086,167.432872177854
144836,"3107",595846.126159668,3981.27925750011,1.455,2.255,232.261981523291
146895,"134063",266810.125976563,3085.04053140154,1.685,1.928,164.458464889438
145332,"562",2906927.20544434,16194.7264229033,2.679,1.224,396.461176279061
145922,"1739",138441.138305664,2144.92473748512,1.626,2.676,106.964151208246
145916,"140205",81631.2348022461,1174.12101300245,1.159,1.404,126.743746704587
145215,"24974",50366.439453125,1035.98016591101,1.302,2.050,70.5375376328165
144837,"111076",43356.9252929688,873.411419147091,1.183,1.087,97.3221544913761
146239,"2260",1592331.94372559,7346.90683908679,1.642,1.312,449.474534088107
145927,"1576",304074.741943359,2740.78532736587,1.402,2.411,189.127958889364
146243,"16452",590301.028564453,3652.79540652767,1.341,1.190,332.928202193795
