lagoslakei,area,perimeter,bbox_lw_rat,dist_pole,SDI
"12",958732.617187500000000,10311.463773883569957,1.548,131.283183389785,2.971
"8317",1355845.804687500000000,15090.241974100683365,2.032,128.711557950092,3.656
"24663",991690.708221435546875,10690.477320060623242,1.552,123.175452522455,3.028
"65427",980367.740234375000000,10072.710958684678189,2.849,117.97578291938,2.870
"11",742240.311035156250000,7795.804301171194311,2.032,120.963180972138,2.553
"8312",680599.977539062500000,7120.451971785862042,1.751,115.592456518627,2.435
"14",737223.419433593750000,7559.359600107425649,1.911,100.752039452947,2.484
"8311",497560.027832031250000,5246.725723361450946,1.584,116.754654212401,2.098
"13",444727.146972656250000,4520.010833273941898,1.587,108.831201013489,1.912
"8314",609773.169433593750000,6288.229544387591886,1.222,112.252354703018,2.272
"8",621305.333984375000000,6349.650882722899041,2.311,108.752541896576,2.272
"8313",6989743.999023437500000,78308.657010008464567,5.711,130.125949467197,8.356
"7",600773.647460937500000,6206.970905665079954,1.793,108.658396284602,2.259
"8276",604743.974121093750000,6382.745815658881838,2.042,114.623928733905,2.315
"10",1545613.951660156250000,16410.074564071139321,2.170,131.379499312281,3.724
"9",532430.915039062500000,6145.773370437704216,1.468,114.933228585358,2.376
"8278",361778.053222656250000,4423.230697315712860,1.164,111.7591666411,2.075
"36",1000763.751708984375000,10337.078556085305536,1.633,135.386115375925,2.915
"8277",750540.598144531250000,8556.468809657453676,2.573,107.563874557358,2.786
"35",627485.486816406250000,6752.644207730056223,1.082,115.460916052716,2.405
"8272",766923.294433593750000,8202.869910813386014,1.458,117.586236957727,2.642
"130838",794500.573608398437500,8491.960317017499619,1.345,110.5017826052,2.688
"38",952976.582031250000000,9692.862178914763717,1.360,159.263149978029,2.801
"8271",493798.372070312500000,5088.855792357479913,1.751,107.706538173705,2.043
"65421",1613198.270019531250000,17000.441860668826848,1.552,122.716888148994,3.776
"37",1649371.857421875000000,17532.801679034779227,1.155,132.437111138671,3.851
"8274",510190.747070312500000,5247.918955291843304,1.480,104.323348599648,2.073
"32",2265932.629882812500000,23630.612818441833952,1.729,124.805564190885,4.428
"8273",492011.936523437500000,5101.926364665476285,1.480,106.83308232381,2.052
"31",588659.043945312500000,6210.551208303210842,1.072,110.177334322459,2.283
"114485",977767.236419677734375,10022.857858237388427,1.478,116.046276118247,2.859
"34",1128194.856933593750000,13011.342888393606700,1.598,106.76773903376,3.456
"33",701522.623535156250000,7319.978308114289575,1.018,132.130882617772,2.465
"28",545316.443359375000000,5611.410758769661697,1.079,111.736800818324,2.144
"27",1325054.846191406250000,13742.429647046483296,2.230,128.402492963526,3.368
"30",857445.562500000000000,9025.184856767687961,1.540,117.751390709323,2.749
"29",1532594.661132812500000,16173.735516527358413,2.430,115.114299862809,3.685
"24",530439.970214843750000,5523.092072076929981,1.260,109.363590337079,2.139
"8265",1111214.868652343750000,11962.084800792563328,1.735,125.197054486927,3.201
"23",836049.460449218750000,8747.006529697482620,1.338,132.632677200415,2.699
"8292",1171210.013671875000000,14020.300027551122184,1.653,136.324610941368,3.655
"26",1711988.044433593750000,17863.719394724757876,2.379,115.198466143963,3.851
"8291",497905.023437500000000,5110.108301953990122,1.771,109.496842109889,2.043
"25",754829.905273437500000,8004.281506940664258,1.671,109.829035589406,2.599
"8294",883120.355957031250000,9910.932688602184498,2.884,112.28210610367,2.975
"8293",2278728.369628906250000,23607.469238963301905,2.596,160.897321940162,4.412
"32944",1159319.860351562500000,11919.210866035826257,2.320,121.074069904263,3.123
"8288",669280.565917968750000,6958.116351336902881,1.291,118.998273930044,2.399
"8287",914581.824707031250000,10549.556170763282353,1.123,119.664577922548,3.112
"8290",445940.059570312500000,4668.508748633568757,1.206,105.794719652402,1.972
"8289",635090.069335937500000,6536.354333025468804,1.595,117.250888701659,2.314
