stat,log_minimum,count,in_model_fitting,minimum,int,slope,facet_label,pred_count
volume,10.183673469387754,8,FALSE,15264179671.752302,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",11.99856543081381
volume,10.346938775510203,3,FALSE,22229964825.26191,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",9.018907545526897
volume,10.510204081632653,3,FALSE,32374575428.1764,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",6.779201545700537
volume,10.673469387755102,1,FALSE,47148663634.5739,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",5.095691841305335
volume,10.83673469387755,1,FALSE,68664884500.429985,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",3.8302556970022237
depth,0,477372,FALSE,1,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",17457469.883226078
depth,0.061224489795918366,477319,FALSE,1.1513953993264474,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",11761928.077127352
depth,0.12244897959183673,477090,FALSE,1.3257113655901092,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",7924570.571617763
depth,0.18367346938775508,476687,FALSE,1.5264179671752334,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",5339160.240800232
depth,0.24489795918367346,476469,FALSE,1.7575106248547918,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",3597246.288529486
depth,0.30612244897959184,475069,FALSE,2.023589647725157,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",2423635.979578634
depth,0.36734693877551017,471732,FALSE,2.329951810515372,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",1632918.8747066054
depth,0.42857142857142855,462924,FALSE,2.6826957952797255,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",1100175.1392701576
depth,0.4897959183673469,444678,FALSE,3.088843596477481,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",741240.337053233
depth,0.5510204081632653,411910,TRUE,3.5564803062231287,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",499408.88287957525
depth,0.6122448979591837,356747,TRUE,4.094915062380426,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",336475.5259954418
depth,0.673469387755102,284774,TRUE,4.714866363457394,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",226699.57118325745
depth,0.7346938775510203,210461,TRUE,5.428675439323859,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",152738.28734684564
depth,0.7959183673469388,144041,TRUE,6.250551925273973,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",102907.05138912273
depth,0.8571428571428571,91694,TRUE,7.196856730011519,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",69333.37678165513
depth,0.9183673469387755,53644,TRUE,8.286427728546844,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",46713.19478166549
depth,0.9795918367346939,28965,TRUE,9.54095476349994,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",31472.90191247669
depth,1.0408163265306123,16111,TRUE,10.985411419875584,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",21204.791481766908
depth,1.1020408163265305,10199,TRUE,12.648552168552959,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",14286.676933561199
depth,1.163265306122449,7338,TRUE,14.563484775012437,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",9625.614002356688
depth,1.2244897959183674,5412,TRUE,16.768329368110084,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",6485.234134798199
depth,1.2857142857142856,4114,TRUE,19.306977288832496,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",4369.410800480309
depth,1.346938775510204,3047,TRUE,22.229964825261945,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",2943.879950441916
depth,1.4081632653061225,2167,TRUE,25.59547922699536,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",1983.4319907986767
depth,1.4693877551020407,1452,TRUE,29.4705170255181,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",1336.332502802317
depth,1.530612244897959,936,TRUE,33.93221771895328,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",900.3507891020821
depth,1.5918367346938775,570,TRUE,39.06939937054617,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",606.609164812523
depth,1.653061224489796,352,TRUE,44.98432668969446,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",408.7014564640156
depth,1.7142857142857142,233,TRUE,51.7947467923121,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",275.36161700991096
depth,1.7755102040816326,153,TRUE,59.63623316594643,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",185.5242229335894
depth,1.836734693877551,98,TRUE,68.66488450043002,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",124.99649613066212
depth,1.8979591836734693,75,TRUE,79.06043210907697,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",84.21608670763976
depth,1.9591836734693877,54,TRUE,91.02981779915217,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",56.740384569939216
depth,2.020408163265306,43,TRUE,104.81131341546852,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",38.22869676100186
depth,2.0816326530612246,31,TRUE,120.67926406393289,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",25.756491908214706
depth,2.142857142857143,19,TRUE,138.94954943731375,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",17.35337407825738
depth,2.204081632653061,11,TRUE,159.98587196060572,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",11.691793780498914
depth,2.2653061224489797,7,TRUE,184.20699693267164,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",7.877317759027976
depth,2.326530612244898,5,TRUE,212.09508879201903,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",5.307323772695712
depth,2.387755102040816,4,TRUE,244.205309454865,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",3.575796545205863
depth,2.4489795918367347,4,TRUE,281.1768697974231,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",2.4091842669345365
depth,2.510204081632653,4,FALSE,323.74575428176433,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",1.623182068293754
depth,2.571428571428571,3,FALSE,372.7593720314938,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",1.0936149895179363
depth,2.63265306122449,3,FALSE,429.1934260128778,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",0.7368204520368498
depth,2.693877551020408,2,FALSE,494.1713361323833,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",0.49643099604834456
depth,2.7551020408163263,1,FALSE,568.9866029018293,7.241981301490084,-2.8012121072748712,"Depth~(list(m,N == 10^7.24%*%Z^-2.8))",0.33446918195102765
